Generation: 1
N		 inicial		x^2	seleccion	cruza		mutacion		
1		11110		 30		11101		11000		11000
1		10011		 19		11000		11101		11101
1		00101		 5		10001		10101		10101
1		01101		 13		00101		00001		00001
1		00110		 6		11101		11110		11110
1		10000		 16		00110		00101		00101
1		11001		 25		10110		10101		10101
1		11000		 24		11101		11110		11110
1		11101		 368		00101		00011		00011
1		00010		 2		00011		00101		00101
1		10010		 18		11000		11010		11010
1		00111		 7		00010		00000		00000
1		00001		 1		00010		00011		00011
1		11101		 29		10011		10010		10010
1		10000		 16		00101		00001		00001
1		01110		 14		10001		10101		10101
1		00011		 961		10000		10110		10110
1		01010		 10		10110		10000		10000
1		01101		 13		00110		00110		00110
1		01001		 9		01110		01110		01110
1		00011		 3		00010		00001		00001
1		00010		 2		00001		00010		00010
1		11110		 30		00101		00001		00011
1		00100		 4		10001		10101		10101
1		10111		 0		00101		00001		00001
1		00101		 5		11001		11101		11111
1		10100		 20		00110		00000		00000
1		10110		 22		10000		10110		10110
1		11101		 29		11000		11101		11101
1		10001		 17		11101		11000		11100
1		10001		 17		11101		11101		11101
1		10001		 17		11101		11101		11101
Generation: 2
N		 inicial		x^2	seleccion	cruza		mutacion		
1		11000		 24		11101		11101		11111
1		11101		 29		11101		11101		11101
1		10101		 21		00001		00101		00101
1		00001		 1		11101		11001		11001
1		11110		 30		00011		00100		00100
1		00101		 5		11100		11011		11011
1		10101		 21		10000		10101		10101
1		11110		 30		10101		10000		10000
1		00011		 3		10110		10101		10101
1		00101		 435		11101		11110		11110
1		11010		 26		11101		11011		11011
1		00000		 0		00011		00101		00101
1		00011		 3		00011		00101		00101
1		10010		 18		11101		11011		11011
1		00001		 1		11100		11110		11110
1		10101		 21		11110		11100		11100
1		10110		 22		00000		00101		00101
1		10000		 961		11101		11000		11000
1		00110		 6		11101		11001		11001
1		01110		 14		00001		00101		10101
1		00001		 1		00000		00101		00101
1		00010		 2		11101		11000		11000
1		00011		 3		10101		10110		11110
1		10101		 21		10110		10101		10101
1		00001		 1		11100		11001		11001
1		11111		 1		00001		00100		00100
1		00000		 0		00001		00101		00101
1		10110		 22		11101		11001		11001
1		11101		 29		00001		00001		00001
1		11100		 28		00001		00001		00001
1		11101		 29		11101		11000		11000
1		11101		 29		00000		00101		00101
Generation: 3
N		 inicial		x^2	seleccion	cruza		mutacion		
1		11111		 31		10101		10101		10101
1		11101		 29		10101		10101		10101
1		00101		 5		00101		00101		00101
1		11001		 25		10101		10101		10101
1		00100		 4		11110		11001		11001
1		11011		 27		11001		11110		11110
1		10101		 21		10101		10001		10001
1		10000		 16		00001		00101		00101
1		10101		 21		00101		00001		00001
1		11110		 30		11001		11101		11101
1		11011		 429		11100		11101		11101
1		00101		 5		00101		00100		00100
1		00101		 5		00001		00101		00101
1		11011		 27		10101		10001		10101
1		11110		 30		11011		11001		11001
1		11100		 28		00001		00011		00011
1		00101		 5		11110		11001		11001
1		11000		 24		11001		11110		11110
1		11001		 900		00101		00101		00101
1		10101		 21		11101		11101		11101
1		00101		 5		10101		10101		10101
1		11000		 24		00101		00101		00101
1		11110		 30		00101		00000		00010
1		10101		 21		10000		10101		10101
1		11001		 25		11011		11101		11101
1		00100		 4		10101		10011		10011
1		00101		 1		10101		10001		10001
1		11001		 25		11001		11101		11101
1		00001		 1		00101		00001		00001
1		00001		 1		00001		00101		10101
1		11000		 24		11110		11100		11100
1		00101		 5		11100		11110		11110
Generation: 4
N		 inicial		x^2	seleccion	cruza		mutacion		
1		10101		 21		00101		00101		00101
1		10101		 21		10101		10101		10101
1		00101		 5		00100		00011		00011
1		10101		 21		00011		00100		00100
1		11001		 25		11001		11110		11110
1		11110		 30		11110		11001		11001
1		10001		 17		10001		10101		10101
